tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	126	0.05299454
DRAM-V	Mixed metagenomes	127	0.053494487
DRAM-V	Mixed metagenomes	127	0.053994432
DRAM-V	Mixed metagenomes	128	0.054494374
DRAM-V	Mixed metagenomes	129	0.05499432
DRAM-V	Mixed metagenomes	129	0.055494264
DRAM-V	Mixed metagenomes	130	0.05599421
DRAM-V	Mixed metagenomes	131	0.05649415
DRAM-V	Mixed metagenomes	131	0.056994095
DRAM-V	Mixed metagenomes	132	0.05749404
DRAM-V	Mixed metagenomes	133	0.057993982
DRAM-V	Mixed metagenomes	133	0.058493927
DRAM-V	Mixed metagenomes	134	0.058993872
DRAM-V	Mixed metagenomes	135	0.059493817
DRAM-V	Mixed metagenomes	135	0.05999376
DRAM-V	Mixed metagenomes	136	0.060493704
DRAM-V	Mixed metagenomes	137	0.06099365
DRAM-V	Mixed metagenomes	137	0.061493594
DRAM-V	Mixed metagenomes	138	0.061993536
DRAM-V	Mixed metagenomes	139	0.06249348
DRAM-V	Mixed metagenomes	139	0.06299342
DRAM-V	Mixed metagenomes	140	0.06349337
DRAM-V	Mixed metagenomes	140	0.06399331
DRAM-V	Mixed metagenomes	141	0.064493254
DRAM-V	Mixed metagenomes	142	0.0649932
DRAM-V	Mixed metagenomes	142	0.065493144
DRAM-V	Mixed metagenomes	143	0.065993086
DRAM-V	Mixed metagenomes	143	0.066493034
DRAM-V	Mixed metagenomes	144	0.066992976
DRAM-V	Mixed metagenomes	145	0.067492925
DRAM-V	Mixed metagenomes	145	0.067992866
DRAM-V	Mixed metagenomes	146	0.06849281
DRAM-V	Mixed metagenomes	146	0.06899276
DRAM-V	Mixed metagenomes	147	0.0694927
DRAM-V	Mixed metagenomes	148	0.06999264
DRAM-V	Mixed metagenomes	148	0.07049259
DRAM-V	Mixed metagenomes	149	0.07099253
DRAM-V	Mixed metagenomes	149	0.07149247
DRAM-V	Mixed metagenomes	150	0.07199242
DRAM-V	Mixed metagenomes	150	0.07249236
DRAM-V	Mixed metagenomes	151	0.07299231
DRAM-V	Mixed metagenomes	152	0.07349225
DRAM-V	Mixed metagenomes	152	0.07399219
DRAM-V	Mixed metagenomes	153	0.07449214
